Ref,Val,Package,PosX,PosY,Rot,Side
"C27","100NF 0402 25V X7R","C_0402_1005Metric",255.850000,-111.750000,0.000000,top
"C28","220PF 0603 50V C0G","C_0603_1608Metric",242.800000,-111.000000,90.000000,top
"C29","220PF 0603 50V C0G","C_0603_1608Metric",241.200000,-111.000000,90.000000,top
"C30","100NF 0402 25V X7R","C_0402_1005Metric",224.975000,-108.120000,-90.000000,top
"C31","100NF 1206 50V C0G","C_1206_3216Metric",220.365000,-117.587700,180.000000,top
"C32","CAPP_PANASONIC_EEV-FK1E222M","CAPP_PANASONIC_EEEFK0J682AM",217.500000,-72.750000,90.000000,top
"C33","100NF 0402 25V X7R","C_0402_1005Metric",236.800000,-107.400000,-90.000000,top
"C34","CAPP_PANASONIC_EEV-FK1E222M","CAPP_PANASONIC_EEEFK0J682AM",252.400000,-73.000000,90.000000,top
"C35","100NF 0402 25V X7R","C_0402_1005Metric",215.480000,-110.250000,180.000000,top
"C36","10UF 1206 35V X5R","C_1206_3216Metric",245.200000,-90.165000,-90.000000,top
"C37","10UF 1206 35V X5R","C_1206_3216Metric",247.800000,-89.165000,90.000000,top
"C38","10UF 1206 35V X5R","C_1206_3216Metric",249.200000,-85.665000,0.000000,top
"C39","10UF 1206 35V X5R","C_1206_3216Metric",244.200000,-86.665000,180.000000,top
"C40","100NF 0402 25V X7R","C_0402_1005Metric",250.475000,-90.860000,0.000000,top
"C41","100NF_0603_100V_X7S","C_0603_1608Metric",244.725000,-153.312000,0.000000,top
"C42","100NF 0402 25V X7R","C_0402_1005Metric",255.000000,-94.000000,0.000000,top
"C43","100NF 0402 25V X7R","C_0402_1005Metric",249.500000,-89.250000,-90.000000,top
"C44","100NF 0402 25V X7R","C_0402_1005Metric",244.400000,-134.480000,-90.000000,top
"C45","10UF_0805_16V_X7R","C_0805_2012Metric",248.100000,-99.815000,-90.000000,top
"C46","100NF 0402 25V X7R","C_0402_1005Metric",245.700000,-109.600000,90.000000,top
"C47","100NF 0402 25V X7R","C_0402_1005Metric",251.490001,-107.369999,180.000000,top
"C48","100NF 0402 25V X7R","C_0402_1005Metric",225.580000,-110.920000,0.000000,top
"C49","4.7N 50 VDC 5% 0603 C0G","C_0603_1608Metric",249.559999,-104.100000,-90.000000,top
"C50","4.7N 50 VDC 5% 0603 C0G","C_0603_1608Metric",261.000000,-105.490000,-90.000000,top
"C51","4.7N 50 VDC 5% 0603 C0G","C_0603_1608Metric",259.240000,-106.345000,-90.000000,top
"C52","220PF 0603 50V C0G","C_0603_1608Metric",217.927050,-123.295000,0.000000,top
"C53","220PF 0603 50V C0G","C_0603_1608Metric",217.917050,-125.355000,0.000000,top
"C54","220PF 0603 50V C0G","C_0603_1608Metric",217.992050,-127.235000,0.000000,top
"C55","100NF 0402 25V X7R","C_0402_1005Metric",224.300000,-120.120000,90.000000,top
"C56","100NF 0402 25V X7R","C_0402_1005Metric",241.500000,-156.800000,-90.000000,top
"C57","100NF 0402 25V X7R","C_0402_1005Metric",249.760000,-155.112000,-90.000000,top
"C58","100NF_0603_100V_X7S","C_0603_1608Metric",237.400000,-157.200000,0.000000,top
"C59","100NF 0402 25V X7R","C_0402_1005Metric",246.400000,-134.600000,-90.000000,top
"C60","100NF 0402 25V X7R","C_0402_1005Metric",212.600000,33.900000,0.000000,top
"C61","100NF 0402 25V X7R","C_0402_1005Metric",229.100000,36.200000,-90.000000,top
"C62","100NF_0603_100V_X7S","C_0603_1608Metric",251.600000,-161.000000,180.000000,top
"C63","100NF 0402 25V X7R","C_0402_1005Metric",221.600000,-127.100000,180.000000,top
